latitude,longitude
-90,-180
-90,-175
-90,-170
-90,-165
-90,-160
-90,-155
-90,-150
-90,-145
-90,-140
-90,-135
-90,-130
-90,-125
-90,-120
-90,-115
-90,-110
-90,-105
-90,-100
-90,-95
-90,-90
-90,-85
-90,-80
-90,-75
-90,-70
-90,-65
-90,-60
-90,-55
-90,-50
-90,-45
-90,-40
-90,-35
-90,-30
-90,-25
-90,-20
-90,-15
-90,-10
-90,-5
-90,0
-90,5
-90,10
-90,15
-90,20
-90,25
-90,30
-90,35
-90,40
-90,45
-90,50
-90,55
-90,60
-90,65
-90,70
-90,75
-90,80
-90,85
-90,90
-90,95
-90,100
-90,105
-90,110
-90,115
-90,120
-90,125
-90,130
-90,135
-90,140
-90,145
-90,150
-90,155
-90,160
-90,165
-90,170
-90,175
-90,180
-85,-180
-85,-175
-85,-170
-85,-165
-85,-160
-85,-155
-85,-150
-85,-145
-85,-140
-85,-135
-85,-130
-85,-125
-85,-120
-85,-115
-85,-110
-85,-105
-85,-100
-85,-95
-85,-90
-85,-85
-85,-80
-85,-75
-85,-70
-85,-65
-85,-60
-85,-55
-85,-50
-85,-45
-85,-40
-85,-35
-85,-30
-85,-25
-85,-20
-85,-15
-85,-10
-85,-5
-85,0
-85,5
-85,10
-85,15
-85,20
-85,25
-85,30
-85,35
-85,40
-85,45
-85,50
-85,55
-85,60
-85,65
-85,70
-85,75
-85,80
-85,85
-85,90
-85,95
-85,100
-85,105
-85,110
-85,115
-85,120
-85,125
-85,130
-85,135
-85,140
-85,145
-85,150
-85,155
-85,160
-85,165
-85,170
-85,175
-85,180
-80,-180
-80,-175
-80,-170
-80,-165
-80,-160
-80,-155
-80,-150
-80,-145
-80,-140
-80,-135
-80,-130
-80,-125
-80,-120
-80,-115
-80,-110
-80,-105
-80,-100
-80,-95
-80,-90
-80,-85
-80,-80
-80,-75
-80,-70
-80,-65
-80,-60
-80,-55
-80,-50
-80,-45
-80,-40
-80,-35
-80,-30
-80,-25
-80,-20
-80,-15
-80,-10
-80,-5
-80,0
-80,5
-80,10
-80,15
-80,20
-80,25
-80,30
-80,35
-80,40
-80,45
-80,50
-80,55
-80,60
-80,65
-80,70
-80,75
-80,80
-80,85
-80,90
-80,95
-80,100
-80,105
-80,110
-80,115
-80,120
-80,125
-80,130
-80,135
-80,140
-80,145
-80,150
-80,155
-80,160
-80,165
-80,170
-80,175
-80,180
-75,-180
-75,-175
-75,-170
-75,-165
-75,-160
-75,-155
-75,-150
-75,-145
-75,-140
-75,-135
-75,-130
-75,-125
-75,-120
-75,-115
-75,-110
-75,-105
-75,-100
-75,-95
-75,-90
-75,-85
-75,-80
-75,-75
-75,-70
-75,-65
-75,-60
-75,-55
-75,-50
